INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2021-04-01T02:00:00-00:00,2021-04-01T03:00:00-00:00,2021-03-31,20,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MGHG,LMP_GHG_PRC,HOLLISTR_1_N101,ALL,1,0.0,5
2021-04-01T04:00:00-00:00,2021-04-01T05:00:00-00:00,2021-03-31,22,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MGHG,LMP_GHG_PRC,HOLLISTR_1_N101,ALL,1,0.0,5
2021-04-01T05:00:00-00:00,2021-04-01T06:00:00-00:00,2021-03-31,23,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MGHG,LMP_GHG_PRC,HOLLISTR_1_N101,ALL,1,0.0,5
2021-04-01T03:00:00-00:00,2021-04-01T04:00:00-00:00,2021-03-31,21,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MGHG,LMP_GHG_PRC,HOLLISTR_1_N101,ALL,1,0.0,5
2021-04-01T00:00:00-00:00,2021-04-01T01:00:00-00:00,2021-03-31,18,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MGHG,LMP_GHG_PRC,HOLLISTR_1_N101,ALL,1,0.0,5
2021-04-01T11:00:00-00:00,2021-04-01T12:00:00-00:00,2021-04-01,5,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,35.83233,6
2021-04-01T21:00:00-00:00,2021-04-01T22:00:00-00:00,2021-04-01,15,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,34.54016,6
2021-04-01T20:00:00-00:00,2021-04-01T21:00:00-00:00,2021-04-01,14,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,40.27743,6
2021-04-01T18:00:00-00:00,2021-04-01T19:00:00-00:00,2021-04-01,12,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,34.51756,6
2021-04-01T16:00:00-00:00,2021-04-01T17:00:00-00:00,2021-04-01,10,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,43.01122,6
2021-04-01T23:00:00-00:00,2021-04-02T00:00:00-00:00,2021-04-01,17,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,33.2569,6
2021-04-01T12:00:00-00:00,2021-04-01T13:00:00-00:00,2021-04-01,6,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,39.73121,6
2021-04-01T22:00:00-00:00,2021-04-01T23:00:00-00:00,2021-04-01,16,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,30.18536,6
2021-04-01T19:00:00-00:00,2021-04-01T20:00:00-00:00,2021-04-01,13,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,35.56034,6
2021-04-01T10:00:00-00:00,2021-04-01T11:00:00-00:00,2021-04-01,4,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,33.53686,6
2021-04-01T09:00:00-00:00,2021-04-01T10:00:00-00:00,2021-04-01,3,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,34.52126,6
2021-04-01T17:00:00-00:00,2021-04-01T18:00:00-00:00,2021-04-01,11,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,33.64352,6
2021-04-01T14:00:00-00:00,2021-04-01T15:00:00-00:00,2021-04-01,8,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,43.08209,6
2021-04-01T15:00:00-00:00,2021-04-01T16:00:00-00:00,2021-04-01,9,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,31.64227,6
2021-04-01T13:00:00-00:00,2021-04-01T14:00:00-00:00,2021-04-01,7,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,45.53714,6
2021-04-01T08:00:00-00:00,2021-04-01T09:00:00-00:00,2021-04-01,2,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,36.8488,6
2021-04-01T07:00:00-00:00,2021-04-01T08:00:00-00:00,2021-04-01,1,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,39.21398,6
2021-04-01T23:00:00-00:00,2021-04-02T00:00:00-00:00,2021-04-01,17,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,-2.72,7
2021-04-01T07:00:00-00:00,2021-04-01T08:00:00-00:00,2021-04-01,1,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,0.0,7
2021-04-01T19:00:00-00:00,2021-04-01T20:00:00-00:00,2021-04-01,13,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,13.43726,7
2021-04-01T15:00:00-00:00,2021-04-01T16:00:00-00:00,2021-04-01,9,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,-0.15092,7
2021-04-01T16:00:00-00:00,2021-04-01T17:00:00-00:00,2021-04-01,10,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,17.5051,7
2021-04-01T13:00:00-00:00,2021-04-01T14:00:00-00:00,2021-04-01,7,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,0.0,7
2021-04-01T22:00:00-00:00,2021-04-01T23:00:00-00:00,2021-04-01,16,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,-2.93948,7
2021-04-01T21:00:00-00:00,2021-04-01T22:00:00-00:00,2021-04-01,15,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,5.44889,7
2021-04-01T08:00:00-00:00,2021-04-01T09:00:00-00:00,2021-04-01,2,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,0.0,7
2021-04-01T10:00:00-00:00,2021-04-01T11:00:00-00:00,2021-04-01,4,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,0.0,7
2021-04-01T09:00:00-00:00,2021-04-01T10:00:00-00:00,2021-04-01,3,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,0.0,7
2021-04-01T11:00:00-00:00,2021-04-01T12:00:00-00:00,2021-04-01,5,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,0.0,7
2021-04-01T20:00:00-00:00,2021-04-01T21:00:00-00:00,2021-04-01,14,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,12.57001,7
2021-04-01T14:00:00-00:00,2021-04-01T15:00:00-00:00,2021-04-01,8,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,0.0,7
2021-04-01T17:00:00-00:00,2021-04-01T18:00:00-00:00,2021-04-01,11,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,13.54189,7
2021-04-01T18:00:00-00:00,2021-04-01T19:00:00-00:00,2021-04-01,12,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,13.33957,7
2021-04-01T12:00:00-00:00,2021-04-01T13:00:00-00:00,2021-04-01,6,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCC,LMP_CONG_PRC,HOLLISTR_1_N101,ALL,1,0.0,7
2021-04-01T14:00:00-00:00,2021-04-01T15:00:00-00:00,2021-04-01,8,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCE,LMP_ENE_PRC,HOLLISTR_1_N101,ALL,1,41.94129,8
2021-04-01T20:00:00-00:00,2021-04-01T21:00:00-00:00,2021-04-01,14,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCE,LMP_ENE_PRC,HOLLISTR_1_N101,ALL,1,26.92917,8
2021-04-01T11:00:00-00:00,2021-04-01T12:00:00-00:00,2021-04-01,5,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCE,LMP_ENE_PRC,HOLLISTR_1_N101,ALL,1,35.2299,8
2021-04-01T15:00:00-00:00,2021-04-01T16:00:00-00:00,2021-04-01,9,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCE,LMP_ENE_PRC,HOLLISTR_1_N101,ALL,1,30.73885,8
2021-04-01T21:00:00-00:00,2021-04-01T22:00:00-00:00,2021-04-01,15,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCE,LMP_ENE_PRC,HOLLISTR_1_N101,ALL,1,28.38173,8
2021-04-01T07:00:00-00:00,2021-04-01T08:00:00-00:00,2021-04-01,1,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,MCE,LMP_ENE_PRC,HOLLISTR_1_N101,ALL,1,38.55469,8
