INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2022-07-15T18:35:00-00:00,2022-07-15T18:40:00-00:00,2022-07-15,12,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,4.13809,8,1
2022-07-15T18:40:00-00:00,2022-07-15T18:45:00-00:00,2022-07-15,12,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,1.08326,9,1
2022-07-15T18:45:00-00:00,2022-07-15T18:50:00-00:00,2022-07-15,12,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,2.69167,10,1
2022-07-15T18:50:00-00:00,2022-07-15T18:55:00-00:00,2022-07-15,12,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,0,11,1
2022-07-15T18:55:00-00:00,2022-07-15T19:00:00-00:00,2022-07-15,12,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,-0.00072,12,1
2022-07-15T19:00:00-00:00,2022-07-15T19:05:00-00:00,2022-07-15,13,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,17.15598,1,1
2022-07-15T19:05:00-00:00,2022-07-15T19:10:00-00:00,2022-07-15,13,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,16.75692,2,1
2022-07-15T19:10:00-00:00,2022-07-15T19:15:00-00:00,2022-07-15,13,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,17.17038,3,1
2022-07-15T19:15:00-00:00,2022-07-15T19:20:00-00:00,2022-07-15,13,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,21.33771,4,1
2022-07-15T19:20:00-00:00,2022-07-15T19:25:00-00:00,2022-07-15,13,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,21.03399,5,1
2022-07-15T19:25:00-00:00,2022-07-15T19:30:00-00:00,2022-07-15,13,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,20.69493,6,1
2022-07-15T19:30:00-00:00,2022-07-15T19:35:00-00:00,2022-07-15,13,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,18.36498,7,1
2022-07-15T19:35:00-00:00,2022-07-15T19:40:00-00:00,2022-07-15,13,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,17.39688,8,1
2022-07-15T19:40:00-00:00,2022-07-15T19:45:00-00:00,2022-07-15,13,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,17.27467,9,1
2022-07-15T19:45:00-00:00,2022-07-15T19:50:00-00:00,2022-07-15,13,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,18.83241,10,1
2022-07-15T19:50:00-00:00,2022-07-15T19:55:00-00:00,2022-07-15,13,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,19.36925,11,1
2022-07-15T19:55:00-00:00,2022-07-15T20:00:00-00:00,2022-07-15,13,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,17.37454,12,1
2022-07-15T20:00:00-00:00,2022-07-15T20:05:00-00:00,2022-07-15,14,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,11.53961,1,1
2022-07-15T20:05:00-00:00,2022-07-15T20:10:00-00:00,2022-07-15,14,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,13.51271,2,1
2022-07-15T20:10:00-00:00,2022-07-15T20:15:00-00:00,2022-07-15,14,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,12.52606,3,1
2022-07-15T20:15:00-00:00,2022-07-15T20:20:00-00:00,2022-07-15,14,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,10.10004,4,1
2022-07-15T20:20:00-00:00,2022-07-15T20:25:00-00:00,2022-07-15,14,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,6.21648,5,1
2022-07-15T20:25:00-00:00,2022-07-15T20:30:00-00:00,2022-07-15,14,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,8.59475,6,1
2022-07-15T20:30:00-00:00,2022-07-15T20:35:00-00:00,2022-07-15,14,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,5.78881,7,1
2022-07-15T20:35:00-00:00,2022-07-15T20:40:00-00:00,2022-07-15,14,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,5.66941,8,1
2022-07-15T20:40:00-00:00,2022-07-15T20:45:00-00:00,2022-07-15,14,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,4.94061,9,1
2022-07-15T20:45:00-00:00,2022-07-15T20:50:00-00:00,2022-07-15,14,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,7.80524,10,1
2022-07-15T20:50:00-00:00,2022-07-15T20:55:00-00:00,2022-07-15,14,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,6.58484,11,1
2022-07-15T20:55:00-00:00,2022-07-15T21:00:00-00:00,2022-07-15,14,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,4.05048,12,1
2022-07-15T21:00:00-00:00,2022-07-15T21:05:00-00:00,2022-07-15,15,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,9.45212,1,1
2022-07-15T21:05:00-00:00,2022-07-15T21:10:00-00:00,2022-07-15,15,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,8.63381,2,1
2022-07-15T21:10:00-00:00,2022-07-15T21:15:00-00:00,2022-07-15,15,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,5.44895,3,1
2022-07-15T21:15:00-00:00,2022-07-15T21:20:00-00:00,2022-07-15,15,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,14.54689,4,1
2022-07-15T21:20:00-00:00,2022-07-15T21:25:00-00:00,2022-07-15,15,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,12.913,5,1
2022-07-15T21:25:00-00:00,2022-07-15T21:30:00-00:00,2022-07-15,15,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,10.05918,6,1
2022-07-15T21:30:00-00:00,2022-07-15T21:35:00-00:00,2022-07-15,15,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,13.63906,7,1
2022-07-15T21:35:00-00:00,2022-07-15T21:40:00-00:00,2022-07-15,15,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,14.57147,8,1
2022-07-15T21:40:00-00:00,2022-07-15T21:45:00-00:00,2022-07-15,15,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,14.40964,9,1
2022-07-15T21:45:00-00:00,2022-07-15T21:50:00-00:00,2022-07-15,15,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,1.57771,10,1
2022-07-15T21:50:00-00:00,2022-07-15T21:55:00-00:00,2022-07-15,15,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,3.63586,11,1
